node,address,is_infra,chain_id,year,month,in_degree,out_degree,in_transfer_count,out_transfer_count,total_input_amount,total_output_amount,balance_proxy,self_loop_count,two_node_loop_count,two_node_loop_amount,two_node_loop_tx_count,triangle_loop_count,triangle_loop_amount,triangle_loop_tx_count,egonet_node_count,egonet_edge_count,egonet_density,H1_flag,H1_description,H2_flag,H2_description,H3_flag,H3_description,H4_flag,H4_description,H5_flag,H5_description,H6_flag,H6_description,mahalanobis_distance,iforest_score,rule_score_raw,rule_score_100,mahalanobis_distance_stats_score_100,iforest_stats_score_100,final_score_0_100,final_score_top_percent,final_score_top_percent_display
26,0x15ece0d7de25436bcfcf3d62a9085ddc7838aee9,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,3.7e+16,-37000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.3052796368821347,-0.02622731299080122,0.0,0.0,7.419355,6.129032,4.516129,98.71,98.71%
27,0x867ae719902f8ba4aaf475edb342cd59bdb6804a,0,1,2023,1,1.0,0.0,1.0,0.0,3.7e+16,0.0,37000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.519490238479009,-0.022585850402361884,0.0,0.0,46.129032,37.741936,27.956991,56.13,56.13%
28,0x1689a089aa12d6cbbd88bc2755e4c192f8702000,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0x6dfd404a0def11b58b464dd17092e855e46f8a42,0,1,2023,1,1.0,0.0,1.0,0.0,4335000000000000.0,0.0,4335000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.3285241514164503,-0.01869463476909894,0.0,0.0,10.645162,55.80645,22.150537,69.03,69.03%
30,0x181f01643d899097b8d52996180632882afa867e,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,2.3787953137468432e+17,-237879531374684329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4238735619193919,-0.024998233970330075,0.0,0.0,28.064516,19.67742,15.913979,80.65,80.65%
31,0x1855ae1fffa2bd43078614e9cfeb18f425d347ac,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.5e+16,-15000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.2807583839664491,-0.015499353844611041,0.0,0.0,5.483871,61.612904,22.365591,67.74,67.74%
32,0x1c63963685e5e83f921aec073eff44fdbd693406,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,2.7904649411401168e+17,-279046494114011715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.2310064716916072,-0.024998233970330075,0.0,0.0,1.6129032,19.67742,7.0967746,95.48,95.48%
33,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,0,1,2023,1,0.0,2.0,0.0,2.0,0.0,5.5092263177564256e+17,-550922631775642639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.3333333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.6154006845486157,0.07609511043803541,0.0,0.0,93.870964,97.741936,63.870968,4.52,4.52%
35,0x1b1f7f5e38bd9e23c8cc4170984ea80d08e20259,0,1,2023,1,1.0,0.0,1.0,0.0,4.8060686481014936e+16,0.0,48060686481014934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.534878196366189,-0.02385942156510157,0.0,0.0,51.29032,28.387096,26.559137,59.03,59.03%
36,0x4c09c9ecf9eac125958a4bc02e8c3d6d39c1a0f5,0,1,2023,1,1.0,0.0,1.0,0.0,5.028619452946277e+17,0.0,502861945294627705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5936187012078564,-0.013603455029179756,0.0,0.0,62.258064,66.451614,42.90323,33.55,33.55%
37,0x2088eff304facbb64ff37ae469b6e89e61390c76,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.881108187364871e+19,-18811081873648707573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.8882775571075066,0.006955136660468875,0.0,0.0,84.19355,86.129036,56.774197,13.55,13.55%
38,0x20977658df98841d72d001bae43c5501553eabe9,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,100000000000000.0,-100000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.075403983260456,0.015455865695373383,0.0,0.0,89.67742,90.96774,60.215057,9.35,9.35%
39,0x99027c41f74b38862f53bda999881d8389fc6a92,0,1,2023,1,1.0,0.0,1.0,0.0,100000000000000.0,0.0,100000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.1344990865083786,0.024182281430933816,0.0,0.0,91.29032,92.58064,61.290325,8.06,8.06%
40,0x21a31ee1afc51d94c2efccaa2092ad1028285549,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0x001fd67583b0a575ff4aa1825405e94221611cce,0,1,2023,1,1.0,0.0,1.0,0.0,2.488e+17,0.0,248800000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4546509630041125,-0.012532448662152806,0.0,0.0,33.870968,68.064514,33.978497,44.52,44.52%
42,0x21ddf1db140aa2855f3a1c4377ea35e4a097a1c3,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,6.84e+16,-68400000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4258012371303108,-0.026131479789974488,0.0,0.0,28.709677,8.387096,12.36559,87.1,87.10%
43,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0x264733d825a749a1c1168551303abf4f3f71b46a,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,4e+17,-400000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5199582588592784,-0.020428079343655148,0.0,0.0,46.774193,48.70968,31.827957,49.68,49.68%
46,0x0e8bff23f229d98e422f51b86c7eb2d3efab96bf,0,1,2023,1,1.0,0.0,1.0,0.0,4e+17,0.0,400000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.7433768105254928,-0.014680743922671102,0.0,0.0,75.80645,62.903225,46.236557,28.39,28.39%
47,0x272334d31fe14f3f0da1e30fb8afa3f244ca9535,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.1582842915360276e+18,-1158284291536027600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4929642200816138,-0.0179253114105824,0.0,0.0,39.677418,58.387096,32.68817,46.13,46.13%
48,0xdef1c0ded9bec7f1a1670819833240f027b25eff,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0x61fda88dd761b8c79e5e03725ed7ba9ce3b10193,0,1,2023,1,1.0,1.0,1.0,1.0,1255272615307157.0,1.3807998768378728e+16,-12552726153071572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.4858655793563242,0.051493918837112185,0.0,0.0,93.22581,93.22581,62.15054,7.1,7.10%
51,0xa12d05a7656be9dd46f575182893ec94193cc60e,0,1,2023,1,1.0,0.0,1.0,0.0,2.0750888e+17,0.0,207508880000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5209251277198006,-0.01858999596614741,0.0,0.0,47.419353,57.096775,34.83871,43.23,43.23%
52,0x2c96eb9d9744aa007ab0555daa329c1f09cfc6bf,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,3e+17,-300000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.6035638885321253,-0.02221756675898856,0.0,0.0,63.548386,40.64516,34.731182,43.87,43.87%
